,Character,Lesson
当然, 18
胖, 18
怕, 18
简单, 18
跑步, 18
难受, 18
网球, 18
拍, 18
篮球, 18
游泳, 18
危险, 18
淹死, 18
愿意, 18
上大学, 18
为了, 18
提高, 18
水平, 18
足球, 18
比赛, 18
国际, 18
美式, 18
应该, 18
脚, 18
踢, 18
手机抱, 18
压, 18
被, 18
担心, 18
棒, 18
运动服, 18
半天, 18

马上, 19
放假, 19
公司, 19
实习, 19
打工, 19
计划, 19
暑假, 19
打算, 19
父母, 19
首都, 19
政治, 19
文化, 19
名胜古迹, 19
有名, 19
导游, 19
护照, 19
签证, 19
旅行社, 19
订, 19
长城, 19
香港, 19
台北, 19
初, 19
单程, 19
往返, 19
航空, 19
查, 19
航班, 19
千, 19
直飞, 19
打折, 19
转机, 19
靠, 19
窗户, 19
走道, 19
份, 19
素餐, 19
旅馆, 19
租, 19
中国国际航空公司, 19
西北航空公司, 19

行李, 20
托运, 20
包, 20
箱子, 20
超重, 20
登机牌, 20
登机口, 20
哭, 20
地图照顾, 20
起飞, 20
小心, 20
一路平安, 20
叔叔, 20
阿姨, 20
欢迎, 20
瘦, 20
爷爷, 20
奶奶, 20
烤鸭, 20
首都机场, 20

